Index,Height(Inches),Weight(Pounds),Weight(Kilograms)
1,65.78331,112.9925,51.25306177991472
2,71.51521,136.4873,61.91023314887054
3,69.39874,153.0269,69.412546493695
4,68.2166,142.3354,64.56291390728477
5,67.78781,144.2971,65.45273519005715
6,68.69784,123.3024,55.929601741812576
7,69.80204,141.4947,64.18157488886872
8,70.01472,136.4623,61.89889322326045
9,67.90265,112.3723,50.97174090537965
10,66.78236,120.6672,54.73428286310441
11,66.48769,127.4516,57.81166651546766
12,67.62333,114.143,51.77492515649097
13,68.30248,125.6107,56.97663975324321
14,67.11656,122.4618,55.54830808309897
15,68.27967,116.0866,52.65653633312166
16,71.0916,139.9975,63.50244942393178
17,66.461,129.5023,58.74185793341195
18,68.64927,142.9733,64.85226344915176
19,71.23033,137.9025,62.5521636578064
20,67.13118,124.0449,56.26639753243219
21,67.83379,141.2807,64.08450512564637
22,68.87881,143.5392,65.10895400526172
23,63.48115,97.90191,44.40801505942121
24,68.42187,129.5027,58.74203937222172
25,67.62804,141.8501,64.34278327134173
26,67.20864,129.7244,58.842601832531976
27,70.84235,142.4235,64.60287580513472
28,67.49434,131.5502,59.67077927968792
29,66.53401,108.3324,49.13925428649189
30,65.44098,113.8922,51.661163022770566
31,69.5233,103.3016,46.85729837612265
32,65.8132,120.7536,54.77347364601288
33,67.8163,125.7886,57.0573346638846
34,70.59505,136.2225,61.79012065680848
35,71.80484,140.1015,63.54962351446974
36,69.20613,128.7487,58.40002721582147
37,66.80368,141.7994,64.31978590220447
38,67.65893,121.2319,54.99042910278508
39,67.80701,131.3478,59.57897124194865
40,64.04535,106.7115,48.40401886963621
41,68.57463,124.3598,56.40923523541686
42,65.18357,124.8591,56.63571622970153
43,69.65814,139.6711,63.35439535516647
44,67.96731,137.3696,62.31044180350176
45,65.98088,106.4499,48.28535788805225
46,68.67249,128.7639,58.4069218905924
47,66.88088,145.6837,66.08169282409507
48,67.69868,116.819,52.98875079379479
49,69.82117,143.6215,65.14628504037013
50,69.08817,134.9325,61.20498049532795
51,69.91479,147.0219,66.68869636215186
52,67.33182,126.3285,57.302231697360064
53,70.26939,125.4839,56.919123650548855
54,69.10344,115.7084,52.48498593849224
55,65.38356,123.4892,56.01433366597114
56,70.18447,147.8926,67.0836432913
57,70.40617,155.8987,70.71518642837702
58,66.54376,128.0742,58.09407602286128
59,66.36418,119.3701,54.14592216275061
60,67.537,133.8148,60.69799510115213
61,66.50418,128.7325,58.39267894402612
62,68.99958,137.5453,62.39013880068946
63,68.30355,129.7604,58.8589313254105
64,67.01255,128.824,58.43418307175905
65,70.80592,135.3165,61.37916175269889
66,68.21951,109.6113,49.71935952100154
67,69.05914,142.4684,64.62324231153043
68,67.73103,132.749,60.21455139254286
69,67.21568,103.5275,46.95976594393541
70,67.36763,124.7299,56.5771114941486
71,65.27033,129.3137,58.656309534609456
72,70.84278,134.0175,60.789939217998736
73,69.92442,140.3969,63.68361607547854
74,64.28508,102.8351,46.64569536423841
75,68.2452,128.5214,58.29692461217454
76,66.35708,120.2991,54.56731379842148
77,68.36275,138.6036,62.87018053161571
78,65.4769,132.9574,60.30908101242856
79,69.71947,115.6233,52.4463848317155
80,67.72554,122.524,55.57652181801687
81,68.63941,134.6254,61.06568084913364
82,66.78405,121.8986,55.29284223895491
83,70.05147,155.3767,70.4784087816384
84,66.27848,128.9418,58.48761680123378
85,69.20198,129.1013,58.559965526626144
86,69.13481,139.4733,63.264673863739446
87,67.36436,140.8901,63.90733012791436
88,70.09297,131.5916,59.68955819649823
89,70.1766,121.1232,54.94112310623242
90,68.22556,131.5127,59.65376939127279
91,68.12932,136.5479,61.93772112854939
92,70.24256,141.4896,64.17926154404427
93,71.48752,140.6104,63.780459040188695
94,69.20477,112.1413,50.86695999274245
95,70.06306,133.457,60.53569808582055
