Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Spent,Living_Status,Children
0,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,1617,0,0
0,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,27,0,2
0,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,776,1,0
0,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,53,1,1
1,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,422,1,1
1,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,716,1,1
0,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,590,0,1
1,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,169,1,1
1,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,46,1,1
1,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,49,1,2
2,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,61,1,0
0,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,1102,0,0
1,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,310,0,2
0,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,46,1,0
1,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,1315,0,0
0,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,96,1,2
0,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,317,1,0
1,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,1782,1,1
2,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,133,0,1
0,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,316,1,0
0,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,1730,1,1
1,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,972,1,1
1,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,544,1,1
0,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,444,1,1
0,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,75,0,0
0,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,257,1,2
0,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,131,1,1
1,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,1672,1,0
1,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,30,0,0
1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,318,1,0
0,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,120,1,1
1,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,302,0,2
1,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,1196,1,0
1,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,65,0,2
1,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,913,1,1
2,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,81,1,1
0,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,67,0,1
1,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,902,0,0
0,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,1395,1,1
1,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,53,1,1
0,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,22,1,1
1,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,31,1,1
0,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,984,0,0
2,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,122,1,0
0,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,55,1,1
1,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,1319,1,2
0,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,507,0,1
1,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,1693,1,0
0,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,72,0,1
0,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1617,0,0
0,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,606,1,2
1,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,1957,1,0
0,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,1093,0,0
0,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,29,0,1
1,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,518,1,1
1,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,1438,0,0
0,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,612,1,2
0,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,884,0,1
1,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,606,0,1
0,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,1076,1,0
0,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,34,1,1
0,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,11,1,2
2,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1274,0,1
0,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,653,1,1
0,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,1562,1,3
1,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,1253,1,0
